City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
399,hualmay,PE,61.16,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
401,itaituba,BR,70.99,-4.28,-55.98,Hotel Campos
402,jining,CN,88.81,35.41,116.58,Yunhe Star Hotel
403,uarini,BR,72.37,-2.99,-65.11,
404,carlisle,US,68.0,40.2,-77.19,Fairfield Inn & Suites by Marriott Carlisle
405,bukene,TZ,69.49,-4.23,32.88,
406,morgan city,US,77.0,29.7,-91.21,Hampton Inn & Suites Morgan City
408,helena,US,64.4,46.59,-112.04,Holiday Inn Express & Suites Helena
409,sobolevo,RU,72.05,54.43,31.9,
410,lodja,CD,74.59,-3.48,23.43,
411,perth,AU,66.99,-31.93,115.83,Rendezvous Hotel Perth Central
412,yatou,CN,80.37,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
413,baoning,CN,82.4,25.34,110.03,
414,koutiala,ML,78.24,12.39,-5.46,Hotel Campement Poule Verte
415,manoel urbano,BR,71.31,-8.84,-69.26,Baixada Beira Rio
417,najran,SA,91.4,17.49,44.13,محمد هادي ال فطيح
418,fuyu,CN,80.24,45.18,124.82,Education Hostel
419,filadelfia,US,73.4,39.95,-75.16,Loews Philadelphia Hotel
423,luangwa,ZM,64.31,-15.62,30.42,Gerasimos Safari Lodge
425,huanren,CN,84.72,41.26,125.37,Dynasty Wunvshan Ice Chateau
426,nanchang,CN,86.52,28.68,115.88,Ruidu Hotel
429,baherden,TM,95.83,38.44,57.43,
430,general mamerto natividad,PH,91.4,15.6,121.05,Mendoza's Farm & Garden Resort
431,saint-georges,GD,80.6,12.06,-61.75,Radisson Grenada Beach Resort
437,kabanjahe,ID,87.8,3.1,98.49,Pelindung Bawah Losmen
438,sumbe,AO,70.21,-11.21,13.84,Hotel Ritz Sumbe
440,ingham,US,69.8,42.6,-84.38,Sunset Place
441,alta floresta,BR,66.94,-9.88,-56.09,Floresta Amazonica Hotel
442,lamu,KE,80.11,-2.27,40.9,Lamu House
443,hoskote,IN,80.6,13.07,77.8,OYO 19124 Rd Inn
445,amapa,BR,70.18,1.0,-52.0,
446,yarada,IN,95.0,17.65,83.27,"D-26/2, Dolphin Hill,"
447,chicama,PE,63.32,-7.84,-79.15,Hospedaje Punta Cana PERU
448,vila franca do campo,PT,64.4,37.72,-25.43,Pestana Bahia Praia
451,omsukchan,RU,69.06,62.53,155.8,
452,namtsy,RU,82.4,62.72,129.67,"""Эңсиэли Киин"""
454,new smyrna beach,US,73.99,29.03,-80.93,Hampton Inn New Smyrna Beach
455,flinders,AU,68.0,-34.58,150.86,Shellharbour Resort & Conference Centre
