City ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
152,cherskiy,8,RU,clear sky,22,68.75,161.3,84.4,0.0,0.0,5.23
153,naze,75,JP,shower rain,100,28.37,129.48,77.0,0.0,0.0,3.36
154,kyren,58,RU,light rain,53,51.68,102.14,69.48,0.41,0.41,5.5
155,tulle,4,FR,clear sky,97,45.33,1.83,54.0,0.0,0.0,1.48
156,tommot,51,RU,light rain,45,58.96,126.29,73.51,0.12,0.12,7.61
157,new norfolk,94,AU,light rain,87,-42.78,147.06,52.0,0.27,0.27,0.58
158,mbour,71,SN,broken clouds,88,14.42,-16.96,77.0,0.0,0.0,6.93
159,half moon bay,90,US,mist,93,37.46,-122.43,61.0,0.0,0.0,6.93
160,san quintin,1,MX,clear sky,86,30.48,-115.95,61.41,0.0,0.0,10.04
161,abha,94,SA,overcast clouds,29,18.22,42.51,78.8,0.0,0.0,8.43
162,vysokogornyy,90,RU,overcast clouds,55,50.12,139.15,56.95,0.0,0.0,7.2
163,saiki,75,JP,broken clouds,56,32.95,131.9,73.4,0.0,0.0,5.82
164,waipawa,100,NZ,light rain,93,-41.41,175.52,55.0,0.72,0.72,14.5
165,asau,92,RO,overcast clouds,77,46.43,26.4,69.01,0.0,0.0,4.52
166,taltal,4,CL,clear sky,70,-25.4,-70.48,56.95,0.0,0.0,1.52
167,hasaki,40,JP,scattered clouds,65,35.73,140.83,88.0,0.0,0.0,11.41
168,pilar,40,BR,light rain,94,-9.6,-35.96,73.4,0.0,0.0,5.82
169,saint-philippe,67,RE,broken clouds,57,-21.36,55.77,75.2,0.0,0.0,20.8
170,quang ngai,2,VN,clear sky,52,15.12,108.8,93.9,0.0,0.0,13.22
171,alice springs,0,AU,clear sky,28,-23.7,133.88,68.0,0.0,0.0,9.17
172,caravelas,5,BR,clear sky,87,-17.71,-39.25,70.92,0.0,0.0,5.28
173,santo domingo,3,DO,clear sky,82,18.5,-69.99,80.01,0.0,0.0,3.13
174,tongliao,12,CN,few clouds,21,43.61,122.27,98.67,0.0,0.0,15.26
175,katsuura,75,JP,broken clouds,61,35.13,140.3,82.0,0.0,0.0,17.22
176,lebu,100,CL,light rain,83,-37.62,-73.65,52.83,0.27,0.27,18.05
177,zapolyarnyy,50,RU,scattered clouds,63,69.42,30.81,44.6,0.0,0.0,13.87
178,bengkulu,17,ID,few clouds,65,-3.8,102.27,84.99,0.0,0.0,7.29
