City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Geraldton,AU,2020-06-15 00:37:45,-28.77,114.6,53.6,87,0,9.17
173,Galveston,US,2020-06-15 00:36:31,29.37,-94.97,86.0,62,1,10.29
174,Beringovskiy,RU,2020-06-15 00:36:13,63.05,179.32,40.64,89,96,11.16
175,Mitzic,GA,2020-06-15 00:37:46,0.78,11.55,69.35,100,96,3.11
176,Te Anau,NZ,2020-06-15 00:37:46,-45.42,167.72,53.38,77,100,8.37
177,Xuddur,SO,2020-06-15 00:37:46,4.12,43.89,70.52,74,5,16.17
178,Avarua,CK,2020-06-15 00:37:47,-21.21,-159.78,73.4,64,75,6.93
179,Saint George,US,2020-06-15 00:34:18,37.1,-113.58,93.0,9,1,13.87
180,Lhokseumawe,ID,2020-06-15 00:37:47,5.18,97.15,80.82,81,99,5.26
181,Esfarayen,IR,2020-06-15 00:37:47,37.08,57.51,68.0,45,20,2.24
182,Husavik,IS,2020-06-15 00:37:47,66.04,-17.34,51.8,71,0,17.22
183,Svetlogorsk,BY,2020-06-15 00:37:48,52.63,29.73,63.46,98,95,8.52
184,Iqaluit,CA,2020-06-15 00:34:45,63.75,-68.51,37.4,90,75,17.22
185,Grand-Lahou,CI,2020-06-15 00:37:48,5.14,-5.02,78.22,89,85,7.05
186,Teguldet,RU,2020-06-15 00:37:48,57.31,88.17,51.08,68,84,6.71
187,Biak,ID,2020-06-15 00:37:48,-0.91,122.88,81.75,75,23,6.89
188,Berlevag,NO,2020-06-15 00:37:48,70.86,29.09,45.91,75,99,23.71
189,Jacqueville,CI,2020-06-15 00:37:49,5.21,-4.41,78.8,94,40,3.36
190,Longyearbyen,SJ,2020-06-15 00:35:11,78.22,15.64,35.6,74,75,8.05
191,Khash,IR,2020-06-15 00:37:49,28.22,61.22,71.51,21,0,0.74
192,Kudahuvadhoo,MV,2020-06-15 00:36:55,2.67,72.89,84.38,78,31,13.91
193,Baft,IR,2020-06-15 00:37:50,29.23,56.61,69.87,18,29,6.67
194,Pangnirtung,CA,2020-06-15 00:37:50,66.15,-65.71,34.99,85,84,2.86
195,Soanierana Ivongo,MG,2020-06-15 00:37:50,-16.92,49.58,66.36,87,76,8.03
196,Port-Gentil,GA,2020-06-15 00:35:28,-0.72,8.78,75.2,94,90,10.29
197,Lavrentiya,RU,2020-06-15 00:37:50,65.58,-171.0,51.96,60,88,5.32
198,San Policarpo,PH,2020-06-15 00:37:50,12.18,125.51,84.99,71,100,5.61
199,High Level,CA,2020-06-15 00:37:51,58.52,-117.14,64.4,82,90,4.7
200,Santa Maria,BR,2020-06-15 00:37:51,-29.68,-53.81,44.6,87,0,4.7
201,Christchurch,NZ,2020-06-15 00:33:57,-43.53,172.63,57.99,66,59,3.36
202,Soyo,AO,2020-06-15 00:37:51,-6.13,12.37,71.11,90,0,4.29
203,Lagoa,PT,2020-06-15 00:37:51,39.05,-27.98,62.37,76,0,13.29
204,Bingol,TR,2020-06-15 00:37:52,38.88,40.49,50.0,93,100,4.32
205,Astana,KZ,2020-06-15 00:36:53,51.18,71.45,51.8,62,99,13.42
206,Korop,UA,2020-06-15 00:37:52,51.57,32.96,64.24,97,100,8.7
207,Saskylakh,RU,2020-06-15 00:37:53,71.92,114.08,54.59,41,0,8.99
208,Mount Isa,AU,2020-06-15 00:37:53,-20.73,139.5,69.8,32,0,12.75
209,Port Moresby,PG,2020-06-15 00:37:53,-9.44,147.18,84.2,79,75,11.41
210,Vila Velha,BR,2020-06-15 00:33:50,-20.33,-40.29,75.2,83,40,11.41
211,Jaru,BR,2020-06-15 00:37:53,-10.44,-62.47,72.64,94,100,3.27
212,Fairbanks,US,2020-06-15 00:36:29,64.84,-147.72,62.6,82,90,4.7
213,Priargunsk,RU,2020-06-15 00:37:54,50.37,119.1,69.1,41,42,5.91
214,Jurado,CO,2020-06-15 00:37:54,7.11,-77.76,79.05,83,100,3.29
215,Magadan,RU,2020-06-15 00:37:54,59.57,150.8,57.4,56,2,4.99
216,Arys,KZ,2020-06-15 00:37:55,42.43,68.8,68.0,49,40,4.47
217,Wloszczowa,PL,2020-06-15 00:37:55,50.85,19.97,57.99,100,0,4.5
218,Santana,BR,2020-06-15 00:37:55,-0.06,-51.18,80.6,100,70,6.93
219,Sioux Lookout,CA,2020-06-15 00:36:15,50.1,-91.92,71.6,28,40,13.87
220,Nago,JP,2020-06-15 00:37:55,26.59,127.98,84.2,83,1,17.22
221,Buraydah,SA,2020-06-15 00:35:27,26.33,43.98,89.6,21,0,12.75
222,Aykhal,RU,2020-06-15 00:37:56,66.0,111.5,46.4,87,90,11.18
223,Bireun,ID,2020-06-15 00:37:56,5.2,96.7,80.47,79,100,5.19
224,Eganville,CA,2020-06-15 00:37:56,45.53,-77.1,66.2,37,1,4.7
225,Cabedelo,BR,2020-06-15 00:37:56,-6.98,-34.83,75.2,94,40,10.29
226,Sobolevo,RU,2020-06-15 00:37:56,54.43,31.9,61.72,93,100,11.01
227,Yar-Sale,RU,2020-06-15 00:37:57,66.83,70.83,42.49,61,13,17.81
228,Madang,PG,2020-06-15 00:37:57,-5.22,145.8,88.5,58,100,0.78
229,Qarqin,AF,2020-06-15 00:37:57,37.42,66.04,83.07,15,0,2.89
230,Cam Ranh,VN,2020-06-15 00:37:57,11.92,109.16,86.0,74,40,6.93
231,Tuatapere,NZ,2020-06-15 00:36:48,-46.13,167.68,56.41,71,100,7.96
232,San Patricio,MX,2020-06-15 00:37:58,19.22,-104.7,84.2,79,20,11.41
